player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
Tom,0,0,0,1,4,0,0,0
Trey,0,0,1,27,5,3,0,0
Troy,1,1,0,1,1,0,0,0
Wes,0,0,0,0,0,0,0,0
X,0,0,0,0,2,0,0,0
Yergin,1,0,0,6,27,2,1,0
Zach,0,1,0,1,8,1,0,0
Aaron S,2,0,0,15,9,1,0,0
Alex H,1,0,0,50,30,2,0,0
Cam B,7,2,0,16,17,2,0,0
Colin R,0,1,1,7,6,2,1,0
Colton S,0,1,0,1,3,0,0,0
Conner H,1,0,0,7,6,0,0,0
Connor L,0,1,1,2,1,0,0,0
Dan C,0,0,0,0,0,0,0,0
Donova T,1,2,1,11,10,1,0,0
Heath K,1,0,0,0,3,0,0,0
Jake F,0,0,1,1,1,0,0,0
Jesse J,1,0,0,2,1,0,0,0
Joey C,0,0,0,3,1,1,0,0
John J,2,0,4,7,3,0,0,0
Jon W,1,1,1,5,4,1,0,0
Josh D,0,1,0,0,1,0,0,0
Keegan N,4,1,0,12,5,0,1,0
Keenan P,0,3,0,88,31,1,0,0
Kip C,0,1,1,8,0,1,0,0
Kyle C,1,3,0,5,6,0,0,0
Levi J,2,5,1,10,6,1,0,0
Michae A,0,0,1,1,4,0,0,0
Nathan B,1,0,0,1,2,0,0,0
Nick H,0,0,0,1,4,0,0,0
Peter C,0,2,1,7,5,0,0,0
Rick G,6,0,0,3,14,2,2,0
Robbie C,1,1,0,4,4,1,0,0
Sam S,1,1,0,10,28,1,0,0
Spence L,1,2,1,10,3,1,1,0
Stephen,0,1,0,5,1,0,0,0
Terry G,0,0,0,1,1,0,0,0
Travis C,0,1,1,18,59,2,0,0
Zach Z,1,0,1,6,0,0,0,0
Bacon,1,3,1,26,12,1,0,0
Barnett,0,0,0,6,5,1,0,0
Bartholo,0,0,0,1,0,0,0,0
Beatty,2,6,1,35,23,1,0,0
Brooks,1,2,0,3,9,0,0,0
Cohen,2,4,0,2,11,2,1,0
Doi,1,1,1,6,1,1,0,0
Drum,1,0,1,2,1,0,0,0
Eder,0,0,0,2,1,0,0,0
Elbogen,2,1,0,12,4,2,1,0
Ferguson,0,0,0,2,1,0,0,0
Friedman,4,0,1,18,9,1,0,0
George,2,1,0,18,19,1,1,0
Kiyoi,2,2,1,3,13,1,0,0
Lai,0,1,1,24,21,2,0,0
Lepore,0,0,0,3,2,0,0,0
Lissner,2,4,0,9,23,2,1,0
Mazur,2,1,0,1,2,0,1,0
Mcdougal,4,4,5,16,12,0,0,0
Mcrae,0,0,0,0,0,0,0,0
Padula,1,0,1,5,5,0,0,0
Plasman,1,0,0,1,1,0,0,0
Pritchar,0,0,0,0,1,0,0,0
Ransom,0,1,1,3,11,0,0,0
Schakner,0,0,0,5,12,1,0,0
Severson,0,1,1,5,2,0,0,0
Silverma,0,1,2,3,7,1,0,0
Theodore,1,1,1,2,6,1,0,0
Theologi,1,0,1,3,23,0,0,0
Weaver,1,1,1,6,0,0,0,0
A Brown,1,0,0,1,32,1,0,0
Akyuz,1,0,1,11,16,0,0,0
Animal,1,0,0,8,1,0,0,0
Bosscher,1,4,3,8,6,1,0,0
Buddy,1,1,1,1,0,1,0,0
Camp,2,1,1,8,9,0,2,0
Coolidge,0,0,1,6,11,0,1,0
DWiseman,2,2,1,10,3,2,1,0
Drews,1,1,1,29,10,0,0,0
Graffy,4,2,1,18,27,0,0,0
Grandon,1,1,1,4,3,1,1,0
Jdub,1,2,0,6,2,0,0,0
Johnson,1,2,0,12,5,0,1,0
K Brown,0,1,0,29,21,1,1,0
KPS,2,2,2,4,10,2,0,0
Kan,0,0,0,2,4,0,0,0
Kelly,1,0,1,7,2,0,0,0
Keren,0,0,0,2,15,0,0,0
Knoche,1,1,0,3,3,1,0,0
Luo,1,1,0,16,0,0,0,0
Marty,1,0,1,3,2,0,0,0
Mason,0,0,0,0,0,0,0,0
Mawby,0,1,1,0,0,0,0,0
Meshnick,0,0,1,9,8,0,1,0
Meyer,0,1,1,2,2,0,0,0
Nelson,1,1,0,14,33,0,0,0
Poole,0,0,0,2,3,0,0,0
Pruess,0,1,1,12,19,1,0,0
RWiseman,0,1,0,0,1,0,0,0
Repper,0,0,1,2,5,0,0,0
Richgels,2,1,0,12,5,0,1,0
Shriwise,1,2,0,46,14,1,1,0
Spyro,0,0,0,0,0,0,0,0
Tucker,0,1,0,2,3,0,0,0
Weber,0,0,0,0,1,0,0,0
Weigand,1,0,0,5,2,1,0,0
Wilen,2,1,1,4,2,1,1,0
Anders C,1,0,0,1,7,1,0,0
Berry C,1,1,2,14,11,2,0,0
Bumste S,0,2,1,17,27,0,0,0
Burkha M,0,0,0,3,7,2,0,0
Cousin G,0,1,2,20,14,1,0,0
DeCler D,2,1,1,4,1,0,1,0
Duhn,0,0,0,3,3,0,0,0
Echols T,1,1,1,6,9,2,0,0
Feldma B,0,0,0,24,3,1,0,0
Groven T,0,1,1,3,10,0,0,0
Hawkin B,0,0,0,1,1,0,0,0
Johnso E,1,0,0,10,4,1,0,0
Johnso K,0,2,0,11,4,0,0,0
Jordan M,2,3,0,12,13,0,0,0
Jurek C,0,1,0,1,0,0,0,0
Kautz J,0,0,1,4,3,0,0,0
Kittle J,1,0,2,4,1,1,1,0
Klane J,1,4,1,23,46,4,0,0
Ladas N,1,1,0,3,6,0,1,0
Leonar I,1,0,0,1,1,0,0,0
Matis B,1,1,1,4,5,1,0,0
McCart M,0,0,0,1,0,0,0,0
McCutc C,2,0,3,2,2,0,0,0
Mekler W,1,0,0,13,5,2,1,0
Osgar R,3,3,1,13,26,2,1,0
Pangbu G,1,0,0,5,7,0,0,0
Polett T,2,4,1,28,29,3,0,0
Simone J,0,0,0,1,2,0,0,0
Taylor J,1,1,1,6,6,0,0,0
Taylor T,0,0,0,2,0,1,0,0
Trotte E,1,0,0,6,2,0,0,0
Tschid J,2,1,0,15,55,1,0,0
Vogt,0,0,0,1,1,0,0,0
Vohnou B,1,5,2,1,10,4,1,0
Wallin C,0,1,0,0,19,2,0,0
Weinbe C,4,3,0,43,20,0,0,0
Wood C,0,0,0,13,8,0,0,0
Andre,2,1,1,5,8,1,0,0
Big Mike,3,0,3,3,1,1,0,0
Bisson,1,0,0,1,3,0,0,0
Breton,0,0,0,3,2,0,1,0
Burden,1,1,2,45,15,5,0,0
Cabot,0,0,1,8,14,2,1,0
Ceballos,0,1,1,3,5,0,1,0
Chaouch,0,0,1,2,1,0,0,0
Charette,0,0,1,4,2,0,0,0
Faber,0,0,0,0,1,0,0,0
Gamache,0,0,1,8,4,0,0,0
Genest,1,1,1,13,4,3,0,0
Goderre,1,2,1,42,37,0,0,0
Groulx,2,1,1,8,8,1,0,0
Hibbert,2,1,1,7,2,1,1,0
Jean G,0,0,0,2,2,0,0,0
Joncas,1,1,1,8,4,1,1,0
Krump,0,0,0,0,1,0,0,0
Lemieux,0,1,1,3,1,0,0,0
Malik,2,2,1,25,11,2,0,0
Massi,0,1,0,1,1,0,0,0
Monfette,0,1,2,16,3,1,0,0
Nas,2,2,0,17,4,0,0,0
Quentin,3,2,0,9,5,0,0,0
Quinlan,3,2,1,26,17,3,1,0
Saunders,0,0,0,27,48,2,1,0
Steve,1,0,2,6,47,3,0,0
Vallee,3,1,0,11,5,0,0,0
Alongi,1,0,3,6,3,1,0,0
Avello,0,1,0,0,2,0,1,0
Badgett,1,1,0,0,5,0,0,0
Barry,1,0,2,2,15,2,1,0
Bradham,1,1,1,12,5,2,0,0
Caldwell,1,0,0,3,1,0,0,0
Calhoun,2,0,0,9,3,1,1,0
Cam S.,0,0,0,0,1,0,0,0
Carden,0,1,1,3,1,0,0,0
Conger,0,2,0,16,16,1,0,0
Cox,0,0,0,2,1,0,0,0
Dahms,0,0,0,0,0,0,0,0
Dan C,0,0,0,1,3,0,0,0
Dayton,0,0,0,2,1,0,0,0
Flowers,0,0,1,5,18,2,0,0
Hammond,0,0,0,3,4,0,0,0
Hardesty,1,1,0,6,8,1,0,0
Heacock,3,1,0,4,4,0,0,0
Jaime,3,0,1,24,0,0,0,0
Lally,4,3,0,15,26,2,0,0
Mac,4,1,0,25,69,2,0,0
Matt R.,0,0,0,1,0,1,0,0
Moore,0,0,0,1,2,0,0,0
Ortiz,1,0,1,5,3,1,0,0
Parris,2,0,0,18,7,0,1,0
Payne,0,2,1,28,6,3,0,0
Petty,1,0,0,1,3,0,0,0
Phil D.,2,3,0,7,13,1,0,0
Poulos,0,2,0,21,59,3,0,0
Russnog,1,0,0,0,0,1,0,0
Schroder,1,0,1,11,17,2,1,0
Seay,0,0,1,1,2,0,0,0
Snook,1,0,0,1,4,0,0,0
Stroble,0,0,0,0,9,2,0,0
Wilkes,0,1,1,5,2,1,1,0
Wilson,1,0,0,1,5,0,0,0
Wright,1,1,0,7,5,0,0,0
Alladi S,0,0,0,6,5,0,0,0
Alorro J,1,2,1,49,29,0,0,0
Aulett M,1,0,1,0,11,0,0,0
Babbit J,1,0,0,13,6,0,0,0
Brownl M,1,2,1,11,2,2,0,0
Doyle L,1,0,0,1,1,0,0,0
Drost M,2,0,1,7,3,0,0,0
Drost R,2,1,3,2,2,1,0,0
Garvey H,0,4,0,46,19,4,0,0
Holmes R,0,0,0,5,2,1,0,0
Isik A,0,1,0,5,1,1,0,0
Jagt B,3,6,2,7,6,3,1,0
Kalmak P,0,0,0,1,5,0,0,0
Katz B,2,3,1,15,53,2,0,0
Kittre B,0,1,1,9,14,0,0,0
Kline C,1,1,0,15,4,1,0,0
Komino T,0,0,0,0,1,0,0,0
LeMar M,1,1,1,5,14,1,0,0
Lee E,0,0,0,10,3,0,0,0
Mieser J,1,2,1,19,15,2,0,0
Ouelle J,0,0,0,1,1,0,0,0
Price J,0,1,0,2,3,1,0,0
Saffa R,0,0,0,0,0,0,0,0
Spielm B,0,0,0,1,4,0,0,0
Stanto T,2,1,1,4,1,0,0,0
Steven M,4,0,0,5,7,1,0,0
To Nori,0,1,0,0,1,0,0,0
Ward R,1,1,0,2,3,0,0,0
Weintr M,0,0,0,2,2,1,0,0
Weng F,0,0,0,2,3,0,0,0
Ye R,0,0,0,0,0,0,0,0
Zalk A,0,0,0,1,1,0,0,0
Adam O'D,1,2,1,13,15,0,0,0
Aidan H,0,0,0,1,3,0,0,0
Alec A,4,1,0,15,4,1,0,0
Andy O,0,0,0,10,4,1,0,0
Ben,0,0,0,0,1,0,0,0
Bryce R,1,1,1,14,21,0,0,0
Carson T,0,0,0,1,3,1,0,0
Colin F,0,0,0,4,2,0,0,0
David C,0,1,0,2,1,0,0,0
Derek A,0,4,0,39,39,1,0,0
Erik H,1,1,0,6,2,1,0,0
EtienneB,0,0,0,1,0,0,0,0
Geoff B,1,2,1,9,7,0,0,0
Greg E,1,3,0,20,15,4,1,0
JeremyH,0,0,1,9,10,1,0,0
Karl L,2,1,1,11,13,1,0,0
Ken A,1,1,0,17,10,1,0,0
Khalid A,1,0,0,7,2,1,0,0
Kinley G,0,0,0,5,2,0,0,0
Kyle C,1,0,0,2,3,1,0,0
Lance B,0,0,0,0,1,0,0,0
LaurentA,0,0,0,4,1,1,0,0
LaurentL,5,2,1,6,11,0,0,0
M Lee,0,0,0,5,1,0,0,0
Matt O'B,0,0,1,11,5,0,0,0
Nick B,1,4,0,3,20,3,0,0
PatrickK,0,0,1,2,6,1,0,0
PatrickM,0,0,0,0,0,0,0,0
Paul M,0,0,1,1,1,0,0,0
Paul R,2,2,2,14,9,0,1,0
Ryan W,0,0,0,1,0,0,0,0
Scott G,0,0,0,1,1,1,0,0
Tait B,0,0,0,0,0,0,0,0
Tyler S,0,0,1,8,6,1,0,0
A. Miche,0,0,0,1,1,0,0,0
Arcata,3,4,3,45,40,3,2,0
B. Dunn,1,0,0,4,2,0,0,0
Baer,0,0,0,4,1,1,0,0
Becker,0,0,0,1,0,0,0,0
Campy,0,0,0,2,5,2,1,0
Ciccoron,0,0,1,3,4,0,0,0
Damiano,1,1,1,12,8,2,0,0
Davies,1,1,0,5,21,1,0,0
Digorgio,1,0,0,6,6,1,0,0
Dmitry S,0,0,0,2,2,0,0,0
Dylan S,0,0,0,1,1,0,0,0
E. Nard,1,1,3,9,6,1,1,0
E. Peck,1,2,1,13,19,2,1,0
Eckardt,0,0,0,0,0,0,0,0
Fortin,1,1,0,1,8,0,0,0
Igor,0,0,1,3,3,0,0,0
Katzenba,1,0,1,43,47,2,0,0
Lamberty,0,1,0,12,8,2,0,0
M. Esser,0,1,1,3,11,0,0,0
Martin,1,0,1,2,5,1,0,0
Masino,0,0,0,1,1,0,0,0
Mehta,5,0,1,11,10,1,0,0
N. Patel,0,1,0,21,9,1,1,0
Nugent,0,0,0,0,0,0,0,0
Pastor,0,0,0,5,3,0,0,0
Pollard,1,0,1,2,2,1,0,0
R. Brown,2,0,0,6,2,2,0,0
Reydams,0,0,1,7,3,0,1,0
S. Mott,5,6,1,32,42,2,0,0
S. Xu,1,0,0,21,3,0,0,0
Strouse,1,0,1,4,4,0,0,0
Vaughn,1,0,0,1,1,1,0,0
Weaver,0,1,0,6,9,3,0,0
Wenzel,1,0,0,3,2,0,0,0
Angele D,0,0,0,2,0,0,0,0
Beards E,0,1,2,24,6,0,1,0
Buss J,0,0,0,10,23,3,0,0
Cicion R,0,0,1,5,5,0,1,0
Cooper M,0,0,0,2,0,0,0,0
DeAmic J,0,0,1,1,0,1,0,0
Delgad F,0,0,0,3,5,1,1,0
Diatta M,1,0,0,3,0,0,0,0
Fedore M,0,2,1,27,7,3,0,0
Furdel K,2,1,1,19,14,0,0,0
Gardne A,0,0,0,2,0,0,0,0
Graber C,1,0,0,2,2,0,0,0
Hammon P,0,0,0,15,11,2,0,0
Heffer J,2,0,0,0,1,1,0,0
Kahn A,0,0,0,9,2,0,0,0
Kincai J,0,0,0,0,0,0,0,0
Mast J,0,2,1,36,35,2,0,0
May S,1,0,1,1,3,0,0,0
McMull P,1,2,1,21,19,1,0,0
Peters E,0,1,0,6,7,1,1,0
Raslan A,0,1,0,2,1,0,0,0
Repper S,0,0,0,1,0,0,0,0
Robarg J,0,0,0,0,13,1,0,0
Robin- N,2,1,1,4,17,0,0,0
Rosen L,0,0,0,2,2,1,0,0
Sheppa M,2,5,1,24,43,0,0,0
Thomas A,2,0,2,1,6,1,0,0
Towle J,2,1,1,10,15,1,1,0
Tranqu D,0,0,0,1,0,0,0,0
Tranqu V,0,0,0,1,0,0,0,0
Trimbl S,1,1,0,2,6,1,0,0
VanDus S,1,7,1,26,15,0,0,0
Vatz D,1,0,1,5,0,1,0,0
Watt O,1,1,1,18,16,0,0,0
AllenJus,2,1,2,6,5,0,0,0
AllenKir,0,0,0,29,15,1,0,0
BallMike,0,0,0,0,0,1,0,0
BodeMatt,1,0,1,9,12,0,0,0
CohenAnd,0,1,0,2,9,0,0,0
ColicchC,0,0,0,1,0,0,0,0
CretellJ,0,1,0,6,1,2,0,0
DieterBe,0,0,1,2,2,0,0,0
EllisMat,1,1,1,4,5,0,0,0
FairfaxJ,6,1,0,2,20,1,1,0
FreystaM,4,2,1,8,17,1,0,0
GreenTri,0,0,0,1,5,0,0,0
GretschR,0,0,0,3,0,0,0,0
HartzogJ,1,1,0,6,5,1,0,0
HeltonGo,2,3,0,11,16,0,0,0
JonesDav,0,0,0,1,4,0,0,0
LaviolA,0,0,0,6,14,0,0,0
LiuBob,1,1,0,20,23,4,0,0
LynchJoh,0,0,0,4,2,0,0,0
MatzukaB,0,1,1,24,9,1,0,0
McKelveA,0,0,0,1,6,0,0,0
McSherrC,1,0,0,3,1,0,0,0
MitchelT,5,2,0,7,5,1,0,0
MouwJaco,1,0,0,3,7,0,1,0
MunizCha,3,0,0,4,7,0,0,0
NethercJ,1,11,0,15,10,3,0,0
NordgreJ,0,0,0,1,0,0,0,0
PannoneM,3,1,0,1,1,0,0,0
PerryJor,0,0,0,8,2,0,0,0
PolkJake,0,0,1,4,0,0,0,0
RichardD,2,1,1,6,7,1,0,0
SaulNoah,0,4,1,28,15,2,0,0
SethuraV,0,0,0,1,0,0,0,0
SiscoSha,0,2,2,11,18,1,0,0
SmithJos,0,0,0,0,1,0,0,0
SnokeDav,0,1,0,9,3,1,0,0
TaylorAl,0,0,0,7,7,0,0,0
TaylorHu,0,0,0,4,0,0,0,0
WerkmeiR,0,0,0,1,0,1,0,0
WilliamJ,1,0,0,60,1,2,0,0
WilsonMa,0,0,0,0,0,0,0,0
Bridges,2,0,1,13,16,0,1,0
Dunn,6,9,2,7,51,1,0,0
Fontaine,1,2,1,15,9,2,0,0
Goodman,0,0,0,2,1,0,0,0
Griffin,0,0,1,20,6,0,0,0
Groth,3,1,1,17,21,0,0,0
Gutkowsk,0,0,1,1,18,0,1,0
Hall,0,0,0,0,2,0,0,0
Ham,6,1,0,0,13,3,0,0
Hume,1,1,1,10,7,1,1,0
Huppert,2,0,0,2,2,0,0,0
Ivers,2,0,0,13,3,2,0,0
Kohl,1,0,0,3,4,1,0,0
Lacy,1,2,0,1,1,1,0,0
Leggio,0,2,1,16,6,1,1,0
Milardov,2,3,0,34,18,1,0,0
Okita,1,1,0,0,5,2,1,0
Osborne,0,0,0,1,1,0,0,0
Page,0,0,3,2,2,0,0,0
Parisi,0,0,1,3,10,1,1,0
Purdy,0,0,0,10,3,0,0,0
Radlauer,1,0,1,6,11,0,0,0
Ritchie,0,0,0,4,3,1,0,0
Rubin,0,0,0,8,12,0,0,0
Slader,0,1,0,24,18,2,0,0
Slaughte,0,0,0,0,4,0,0,0
Smith,0,0,1,1,2,0,0,0
Tran,2,3,1,38,59,3,0,0
Turner,0,0,2,4,28,2,0,0
A-Grande,0,2,1,3,7,0,1,0
A-Max,1,1,0,1,2,1,1,0
A-Pan,1,0,1,9,6,0,0,0
Andrew,1,1,0,3,7,1,0,0
Antoine,3,5,2,34,9,3,1,0
Ben,0,0,0,21,5,1,0,0
Brandon,0,0,0,3,3,0,0,0
Byron,1,1,1,29,0,2,0,0
Cameron,0,0,0,2,1,0,0,0
Cody,0,2,0,14,38,1,0,0
Cullen,2,0,0,4,5,1,0,0
DaDa,0,0,0,15,11,0,0,0
Devon,1,0,1,4,1,0,0,0
Eli,4,2,0,6,2,3,1,0
Ellen,0,0,0,0,0,0,0,0
Elliott,3,2,1,61,50,1,1,0
Gina,0,0,0,2,6,0,1,0
Greenwoo,1,0,0,1,4,1,0,0
Greg,2,1,1,1,4,4,0,0
