id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
320,Pruess,0.352941176,0.606339063,1.176470588,1.185078801,0.764705882,1.251469724,11.23529412,7.693580211,14.64705882,9.993380162,1,1.767766953,0.117647059,0.332105582,0,0
321,RWiseman,0.058823529,0.242535625,0.176470588,0.52859414,0,0,2,4.949747468,3.176470588,8.164215318,0.058823529,0.242535625,0,0,0,0
322,Repper,0.352941176,0.70188821,0.176470588,0.392952624,0.352941176,0.861769725,1.941176471,2.726503902,1.588235294,2.1811357,0.058823529,0.242535625,0.058823529,0.242535625,0,0
323,Richgels,0.705882353,1.212678125,0.705882353,1.212678125,0.352941176,0.606339063,7.294117647,7.903833768,6.470588235,7.089760636,0.176470588,0.392952624,0.117647059,0.332105582,0,0
324,Shriwise,1.058823529,1.197423705,2.588235294,2.093407018,0.294117647,0.469668218,23.35294118,13.4207916,24.82352941,14.93416927,0.941176471,1.197423705,0.117647059,0.332105582,0,0
325,Spyro,0,0,0,0,0.058823529,0.242535625,0.117647059,0.48507125,0.117647059,0.48507125,0,0,0,0,0,0
326,Tucker,0.352941176,0.492592183,0.352941176,0.70188821,0.294117647,0.587867532,2.352941176,3.463040147,1.882352941,2.912952818,0.117647059,0.332105582,0.117647059,0.332105582,0,0
327,Weber,0.352941176,0.785905248,0.176470588,0.392952624,0.235294118,0.562295715,1.588235294,2.526331914,1.294117647,2.084607454,0,0,0.058823529,0.242535625,0,0
328,Weigand,0.647058824,0.70188821,0.235294118,0.437237316,0.294117647,0.587867532,4.117647059,4.196462095,3.058823529,3.613699424,0.411764706,0.71228712,0.117647059,0.332105582,0,0
329,Wilen,0.588235294,1.003669737,0.235294118,0.664211164,0.470588235,0.717430054,3.823529412,4.612961279,3.294117647,3.771019522,0.176470588,0.392952624,0.176470588,0.52859414,0,0
330,Anders C,0.4,1.055597326,0.133333333,0.351865775,0.2,0.560611911,2.133333333,4.290632099,1.733333333,3.673586544,0.333333333,0.816496581,0,0,0,0
331,Berry C,1.266666667,1.222799287,1.133333333,1.302013093,1.2,1.373213125,8.333333333,6.510065467,6.733333333,5.535168944,0.866666667,0.915475416,0.133333333,0.351865775,0,0
332,Bumste S,1.266666667,1.387014608,1.133333333,1.187233679,0.266666667,0.59361684,16.33333333,17.05313824,16.53333333,17.07908774,0.933333333,0.798808637,0.066666667,0.25819889,0,0
